Gene Set Name	Description	No.Genes in Overlap (k)	No.query genes after removing redundancy	Category	No.Genes of this gene set	Overlap Genes	p value	FDR
MALE_MEIOSIS_SISTER_CHROMATID_COHESION	GO:0007065   male meiosis sister chromatid cohesion,    GOslim:biological_process	1	736	BP	1	AT5G51330	0.0492585336626916	1
CELLULAR_LIPID_CATABOLIC_PROCESS	GO:0044242   cellular lipid catabolic process,    GOslim:biological_process	2	736	BP	252	AT4G37380//AT4G31810	0.987977054969964	1
CDF3_COLAMP_A	CDF3_colamp_a(AT3G47500) Target genes predicted by DAP-seq	207	736	TFT	10627	AT1G64660//AT1G51380//AT2G40030//AT5G60670//AT1G17560//AT3G62120//AT5G45140//AT2G16650//AT1G80270//AT2G34260//AT3G57000//AT1G28395//AT3G21540//AT4G24480//AT2G19540//AT5G45570//AT2G42720//AT4G15850//AT4G18905//AT1G16960//AT2G46280//AT1G29940//AT1G63660//AT5G20600//AT1G57720//AT2G40430//AT4G16720//AT4G36580//AT3G45430//AT5G15750//AT3G01600//AT2G24120//AT4G09800//AT4G13150//AT4G37380//AT4G38810//AT4G04670//AT3G61620//AT5G19820//AT1G49920//AT1G64880//AT5G15610//AT3G03341//AT5G14610//AT2G21640//AT5G27620//AT5G39850//AT2G03670//AT1G20220//AT3G62870//AT3G49140//AT1G75200//AT1G77940//AT1G03860//AT5G40770//AT4G02930//AT5G17710//AT3G10610//AT5G19510//AT4G21140//AT5G24840//AT2G18180//AT4G39040//AT5G41190//AT3G60880//AT5G44320//AT5G53540//AT5G59390//AT1G80620//AT3G57660//AT1G47490//AT2G16570//AT5G14580//AT2G24560//AT1G42440//AT4G25630//AT1G65150//AT4G10480//AT2G04070//AT4G07410//AT3G56490//AT4G16180//AT4G37910//AT5G37440//AT5G08620//AT3G55620//AT1G73680//AT1G03530//AT2G18220//AT3G16650//AT5G01445//AT4G32400//AT4G11211//AT1G49760//AT2G45310//AT5G08540//AT4G15730//AT4G08868//AT5G03390//AT2G03710//AT3G29633//AT5G51330//AT3G60960//AT5G03740//AT4G27640//AT5G60260//AT1G09810//AT5G25800//AT2G27402//AT5G57050//AT3G22120//AT5G24280//AT3G16780//AT5G22440//AT3G49180//AT2G20060//AT1G12250//AT2G23070//AT1G70440//AT2G21450//AT2G38310//AT4G15640//AT2G45670//AT3G23480//AT4G30150//AT2G04050//AT1G32550//AT5G56810//AT2G39390//AT1G29900//AT3G06530//AT2G18193//AT3G05130//AT1G11070//AT4G13750//AT2G40360//AT1G49540//AT3G60500//AT3G22660//AT2G34900//AT3G02080//AT5G52520//AT5G35760//AT4G30990//AT5G11840//AT4G19130//AT3G58470//AT5G58610//AT3G58660//AT5G14490//AT3G03060//AT1G79150//AT3G60360//AT3G51750//AT3G16840//AT1G75240//AT1G67120//AT5G58420//AT2G44510//AT3G12270//AT3G21950//AT1G06720//AT3G54090//AT1G02750//AT1G80410//AT1G63810//AT1G67865//AT3G19210//AT3G20440//AT2G40590//AT3G24780//AT4G04030//AT4G21900//AT4G32510//AT5G46430//AT3G04920//AT3G27740//AT1G30960//AT2G24255//AT3G02760//AT3G11410//AT5G09995//AT5G52650//AT3G62460//AT1G29965//AT3G51130//AT1G64050//AT5G45095//AT5G17270//AT5G02050//AT5G23300//AT1G01250//AT2G34570//AT1G80750//AT1G67870//AT1G79470//AT2G45280//AT3G11964//AT1G47500//AT5G20160//AT1G26630//AT1G08190//AT5G06360//AT5G35910//AT5G58370//AT3G11250//AT1G17960	0.999999750189168	1
CTP_SYNTHASE_ACTIVITY	GO:0003883   CTP synthase activity,    GOslim:molecular_function	1	736	MF	5	AT3G12670	0.140624852055019	1
CELLULAR_CATION_HOMEOSTASIS	GO:0030003   cellular cation homeostasis,    GOslim:biological_process	1	736	BP	172	AT1G19150	0.987502854670328	1
Chromatin_associated_factor_JMJ	transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein	1	736	Caf	20	AT5G06550	0.411724926800616	1
TRICHOME_DIFFERENTIATION	GO:0010026   trichome differentiation,    GOslim:biological_process	2	736	BP	166	AT2G06990//AT5G42030	0.924479903588244	1
GOLGI_APPARATUS	GO:0005794   Golgi apparatus,    GOslim:cellular_component	7	736	CC	946	AT4G30990//AT1G64880//AT3G56070//AT1G74870//AT1G23410//AT2G45310//AT5G42980	0.999989487146416	1
PLASTID_MEMBRANE	GO:0042170   plastid membrane,    GOslim:cellular_component	6	736	CC	98	AT5G16620//AT1G29395//AT5G18570//AT2G33380//AT5G51020//AT3G17970	0.0460577185616246	1
HYPEROSMOTIC_RESPONSE	GO:0006972   hyperosmotic response,    GOslim:biological_process	9	736	BP	250	AT1G29395//AT2G33380//AT3G11410//AT5G60360//AT1G05680//AT5G57050//AT1G72370//AT1G57870//AT3G20300	0.20050265514205	1
LIGASE_ACTIVITY	GO:0016874   ligase activity,    GOslim:molecular_function	29	736	MF	507	AT3G42723//AT4G24830//AT1G63660//AT3G62120//AT5G23250//AT2G37690//AT1G77550//AT5G27470//AT3G12670//AT3G02760//AT1G14610//AT1G09620//AT1G29900//AT3G11710//AT1G36180//AT3G30770//AT5G52520//AT2G33840//AT3G17970//AT5G56680//AT4G31180//AT3G55010//AT5G37490//AT1G20140//AT1G25350//AT5G10240//AT3G04600//AT3G27740//AT1G17960	9.48743098326071e-05	0.00907300628156811
RESPONSE_TO_STIMULUS	GO:0050896   response to stimulus,    GOslim:biological_process	139	736	BP	6222	AT1G64660//AT4G05400//AT2G40030//AT5G57490//AT1G49760//AT2G33380//AT2G30770//AT3G12670//AT2G31610//AT1G73230//AT5G42540//AT4G15850//AT4G31810//AT1G09760//AT3G12390//AT2G46280//AT3G11400//AT5G58610//AT3G07630//AT1G57720//AT5G52470//AT2G22490//AT1G07920//AT4G04670//AT5G57050//AT3G02200//AT2G06990//AT5G60960//AT2G21640//AT1G30580//AT1G19150//AT5G60360//AT5G63890//AT1G25350//AT4G31180//AT1G10840//AT5G40770//AT4G02930//AT3G51800//AT1G18080//AT3G01610//AT1G79950//AT5G35530//AT5G61880//AT4G25340//AT3G57000//AT3G55280//AT2G42720//AT2G04070//AT5G15610//AT1G10500//AT5G08620//AT3G55620//AT5G19510//AT1G73680//AT4G28200//AT5G18570//AT1G72320//AT4G24280//AT4G32400//AT1G64550//AT3G18140//AT2G03710//AT4G31160//AT5G03740//AT2G27840//AT4G37910//AT1G48630//AT5G24280//AT1G27510//AT1G05680//AT5G51020//AT3G60980//AT1G15930//AT5G42980//AT2G38310//AT5G41360//AT5G57890//AT2G40700//AT3G23990//AT2G04050//AT5G16750//AT1G29900//AT3G49500//AT3G11710//AT4G01560//AT4G19130//AT3G47450//AT3G22310//AT3G20050//AT4G28030//AT1G57870//AT5G47650//AT5G66400//AT5G46790//AT5G55920//AT1G75240//AT5G17270//AT3G21950//AT3G49240//AT1G32870//AT1G02750//AT5G04150//AT1G67865//AT3G19210//AT3G20330//AT1G26630//AT3G27740//AT4G37980//AT3G57290//AT1G74560//AT1G03860//AT2G04030//AT2G37990//AT5G62440//AT3G51130//AT1G73700//AT5G11270//AT2G35040//AT3G56070//AT1G01250//AT1G17880//AT4G32720//AT1G67870//AT3G20300//AT3G03630//AT2G45280//AT5G56680//AT5G39740//AT1G29395//AT3G11250//AT5G37490//AT1G08190//AT3G11410//AT2G23350//AT5G35910//AT1G07430//AT1G72370//AT5G27470	0.967784309924313	1
ASPARAGINE-TRNA_LIGASE_ACTIVITY	GO:0004816   asparagine-tRNA ligase activity,    GOslim:molecular_function	1	736	MF	4	AT5G56680	0.118640141978985	1
NICOTINAMIDE_METABOLIC_PROCESS	GO:0006769   nicotinamide metabolic process,    GOslim:biological_process	3	736	BP	212	AT1G19150//AT1G32550//AT1G65230	0.906367903614468	1
CARBON-SULFUR_LYASE_ACTIVITY	GO:0016846   carbon-sulfur lyase activity,    GOslim:molecular_function	1	736	MF	43	AT1G64660	0.6711291108907	1
MYB3R4_COL_A	MYB3R4_col_a(AT5G11510) Target genes predicted by DAP-seq	16	736	TFT	1732	AT5G17710//AT3G10610//AT1G58380//AT3G03341//AT1G34315//AT2G15000//AT4G17840//AT1G57660//AT2G43110//AT2G30770//AT1G80410//AT3G07630//AT5G15610//AT1G80620//AT2G24255//AT5G25780	0.999999776487196	1
PEROXIDASE_ACTIVITY	GO:0004601   peroxidase activity,    GOslim:molecular_function	1	736	MF	112	AT1G73680	0.942699182341153	1
MYB99_COLAMP_A	MYB99_colamp_a(AT5G62320) Target genes predicted by DAP-seq	72	736	TFT	3665	AT1G09810//AT3G22120//AT3G23990//AT5G60990//AT4G04670//AT1G06720//AT3G57150//AT1G60850//AT1G65150//AT1G48570//AT3G23620//AT5G45140//AT4G32400//AT3G54090//AT2G16650//AT5G39850//AT5G19510//AT3G29633//AT1G47490//AT1G71280//AT2G37690//AT1G08910//AT5G51540//AT3G55280//AT2G40450//AT2G03550//AT5G11840//AT1G51310//AT1G74560//AT3G60960//AT2G28000//AT1G27510//AT4G39040//AT3G07630//AT2G19385//AT1G80410//AT3G14600//AT4G28450//AT1G11070//AT5G30490//AT1G68660//AT5G09840//AT1G21400//AT3G60500//AT3G55510//AT3G62120//AT1G48400//AT5G20290//AT1G17880//AT3G22310//AT2G19730//AT2G39850//AT1G18800//AT4G11211//AT1G57870//AT4G30990//AT3G60880//AT1G63660//AT1G24148//AT5G58420//AT2G19670//AT2G21640//AT1G26630//AT4G19210//AT1G20220//AT3G48250//AT3G03150//AT1G79150//AT2G34357//AT3G51750//AT4G27640//AT5G46790	0.993960038039126	1
PROTEIN_TARGETING_TO_VACUOLE	GO:0006623   protein targeting to vacuole,    GOslim:biological_process	2	736	BP	118	AT1G08190//AT1G30580	0.804135831816643	1
GLUCOSINOLATE_BIOSYNTHESIS_FROM_TETRAHOMOMETHIONINE	glucosinolate biosynthesis from tetrahomomethionine	1	736	Cyc	12	AT1G62540	0.279923045288569	1
IRON_ION_HOMEOSTASIS	GO:0055072   iron ion homeostasis,    GOslim:biological_process	1	736	BP	33	AT5G04150	0.576497009155905	1
SINGLE-STRANDED_DNA_BINDING	GO:0003697   single-stranded DNA binding,    GOslim:molecular_function	1	736	MF	32	AT2G45280	0.565652314936252	1
ERF115_COLAMP_A	ERF115_colamp_a(AT5G07310) Target genes predicted by DAP-seq	234	736	TFT	7744	AT1G64660//AT2G39020//AT5G57050//AT1G48570//AT1G49760//AT2G16650//AT1G28395//AT5G07090//AT5G42540//AT2G36070//AT4G31810//AT3G28270//AT4G25730//AT5G67220//AT3G07630//AT2G40430//AT4G29410//AT4G05400//AT3G07430//AT3G04770//AT1G02060//AT4G36580//AT1G36180//AT4G27490//AT5G16930//AT1G71730//AT3G55510//AT2G22490//AT5G64420//AT4G37380//AT4G38810//AT3G61620//AT3G23940//AT1G28530//AT5G19820//AT5G46790//AT3G49180//AT2G24120//AT2G28600//AT3G03341//AT2G39990//AT5G60960//AT4G02820//AT4G19210//AT1G31660//AT1G75200//AT1G25350//AT1G77940//AT4G31180//AT3G55690//AT5G40770//AT5G65860//AT3G51800//AT4G21140//AT1G34315//AT5G58130//AT3G61630//AT3G01610//AT5G41190//AT1G14810//AT3G01345//AT3G60880//AT5G61880//AT4G22720//AT4G35490//AT1G65230//AT2G23070//AT5G62370//AT3G57660//AT2G24050//AT1G10840//AT1G12920//AT4G25740//AT1G77550//AT2G24560//AT5G41660//AT2G03550//AT1G51310//AT4G24480//AT2G42720//AT3G28500//AT3G15640//AT2G18900//AT4G10480//AT3G49140//AT4G07410//AT4G17840//AT5G11310//AT3G13230//AT4G21770//AT4G29510//AT5G08620//AT1G73680//AT4G28200//AT3G10530//AT3G16650//AT1G78750//AT5G03090//AT4G24280//AT1G69070//AT1G17690//AT5G40200//AT4G11211//AT4G15000//AT3G19440//AT1G08410//AT1G60770//AT5G27640//AT2G10440//AT3G13882//AT2G35240//AT4G34265//AT5G03390//AT4G00620//AT4G31160//AT3G60960//AT3G56490//AT5G13280//AT5G05450//AT4G27640//AT5G60260//AT1G09810//AT5G25800//AT2G34970//AT2G03130//AT1G03910//AT5G24280//AT5G49560//AT3G16780//AT5G22440//AT1G06380//AT1G32580//AT4G32400//AT1G12250//AT5G19300//AT2G43110//AT3G60980//AT1G15930//AT2G20585//AT5G57890//AT1G20370//AT2G45670//AT4G16215//AT4G30150//AT3G49660//AT4G14000//AT3G04600//AT3G20000//AT5G34869//AT4G26600//AT1G11070//AT5G09840//AT1G63660//AT3G47450//AT3G60500//AT3G09630//AT3G22310//AT5G57490//AT5G35760//AT5G51540//AT1G23280//AT1G71770//AT5G08540//AT5G11840//AT2G19385//AT3G58470//AT5G66400//AT3G53630//AT2G19670//AT3G58660//AT3G11940//AT1G79150//AT4G15730//AT5G58610//AT3G16840//AT1G75240//AT2G17670//AT4G29030//AT3G12270//AT5G23300//AT1G15440//AT3G49240//AT5G66540//AT1G68990//AT1G63810//AT5G23250//AT1G67865//AT5G30490//AT3G20330//AT5G44320//AT2G24255//AT1G20400//AT5G46430//AT4G32510//AT2G39670//AT2G13430//AT2G40450//AT4G37980//AT2G19640//AT3G02760//AT1G15500//AT5G06110//AT1G47490//AT2G37990//AT4G34740//AT5G13830//AT3G16810//AT3G49010//AT2G35040//AT5G02050//AT4G01860//AT5G15810//AT1G01250//AT4G23540//AT2G06990//AT5G26180//AT1G47920//AT3G20300//AT1G79470//AT2G45280//AT2G25625//AT1G50920//AT5G56680//AT3G11964//AT5G04800//AT1G47500//AT5G37490//AT1G08190//AT3G11410//AT2G23350//AT1G07430//AT2G20060//AT3G11250//AT5G25780	0.00211156534283967	0.16180521761965
RRNA_EXPORT_FROM_NUCLEUS	GO:0006407   rRNA export from nucleus,    GOslim:biological_process	2	736	BP	5	AT3G04770//AT1G72370	0.0120025624998576	0.661190853530976
CYSTEINE_BIOSYNTHETIC_PROCESS	GO:0019344   cysteine biosynthetic process,    GOslim:biological_process	2	736	BP	210	AT2G35500//AT3G03630	0.970035875441469	1
TRANSCRIPTION_ACTIVATOR_ACTIVITY	GO:0016563   transcription activator activity,    GOslim:molecular_function	1	736	MF	21	AT5G14520	0.426406868268054	1
RESPONSE_TO_METAL_ION	GO:0010038   response to metal ion,    GOslim:biological_process	24	736	BP	603	AT2G46280//AT1G49760//AT3G21950//AT1G18080//AT1G07920//AT1G15930//AT4G37910//AT5G27470//AT3G23990//AT3G12670//AT1G74560//AT1G72370//AT1G57720//AT3G56070//AT5G56680//AT1G64550//AT5G39740//AT1G30580//AT1G26630//AT5G60360//AT2G23350//AT4G24280//AT4G31180//AT4G02930	0.0264147161493775	1
MITOCHONDRIAL_MEMBRANE_PART	GO:0044455   mitochondrial membrane part,    GOslim:cellular_component	8	736	CC	169	AT5G55510//ATMG00160//AT1G03860//AT2G20800//AT3G20000//AT2G36070//AT5G40770//AT1G27390	0.076531228950806	1
PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO:0022803   passive transmembrane transporter activity,    GOslim:molecular_function	2	736	MF	125	AT3G20000//AT5G57490	0.828742713806189	1
ASPARAGINE_METABOLIC_PROCESS	GO:0006528   asparagine metabolic process,    GOslim:biological_process	2	736	BP	10	AT5G10240//AT1G63660	0.0347398313028081	1
TRNA_(GUANINE)_METHYLTRANSFERASE_ACTIVITY	GO:0016423   tRNA (guanine) methyltransferase activity,    GOslim:molecular_function	2	736	MF	5	AT5G15810//AT5G24840	0.0120025624998576	0.661190853530976
AT5G47660_COLAMP_A	AT5G47660_colamp_a(AT5G47660) Target genes predicted by DAP-seq	169	736	TFT	9003	AT1G49760//AT1G51380//AT5G40670//AT5G60670//AT5G45140//AT3G27180//AT2G30770//AT5G39850//AT5G44490//AT3G21540//AT5G42540//AT2G36170//AT4G31810//AT3G56990//AT5G28235//AT1G16960//AT5G25754//AT2G46280//AT1G29940//AT1G63660//AT3G28070//AT2G40510//AT1G67680//AT4G36580//AT1G36180//AT4G27490//AT1G74870//AT5G62440//AT5G08600//AT1G22960//AT4G38810//AT3G23940//AT5G19820//AT5G47930//AT1G64880//AT1G08910//AT2G16650//AT3G14700//AT1G30580//AT5G27620//AT5G60360//AT1G31660//AT4G27010//AT2G34357//AT4G24280//AT3G18610//AT1G77940//AT5G40490//AT5G17710//AT5G27230//AT5G04600//AT5G52820//AT3G01610//AT5G27330//AT1G27470//AT3G01345//AT3G60880//AT1G65230//AT3G57000//AT1G80620//AT3G57660//AT2G03820//AT2G05160//AT5G41660//AT2G03550//AT1G61570//AT1G42440//AT4G24480//AT2G42720//AT3G28500//AT2G47610//AT2G06990//AT4G16180//AT5G08620//AT1G52980//AT1G20140//AT3G55620//AT5G57030//AT2G18220//AT3G51750//AT5G01445//AT1G69070//AT4G31160//AT1G60770//AT2G35240//AT3G62310//AT2G17250//AT3G14600//AT3G58700//AT4G24830//AT1G03910//AT5G24280//AT1G27510//AT1G32580//AT4G05380//AT2G43110//AT2G23070//AT2G21450//AT1G47820//AT5G41360//AT2G20060//AT3G23990//AT3G49660//AT2G04050//AT3G20000//AT5G60250//AT1G29900//AT1G06670//AT5G48240//AT5G23710//AT1G11070//AT4G13750//AT2G34900//AT4G37925//AT2G36070//AT2G05220//AT1G57870//AT4G30990//AT2G16570//AT5G11840//AT3G53630//AT5G46790//AT3G11940//AT4G31700//AT4G04940//AT1G68660//AT5G55920//AT2G20585//AT1G75240//AT1G67120//AT2G44510//AT3G06200//AT5G04150//AT3G23620//AT1G63810//AT5G23250//AT1G70440//AT4G21900//AT1G52315//AT5G15550//AT3G04920//AT2G13430//AT1G73490//AT3G12670//AT1G57660//AT1G13160//AT1G08610//AT5G52650//AT3G05030//AT5G13830//AT5G45095//AT5G14520//AT1G07930//AT3G19440//AT1G01250//AT1G17880//AT2G34570//AT1G79470//AT5G08180//AT1G22780//AT5G05060//AT5G34869//AT4G31210//AT5G06360//AT1G64600//AT3G13470//AT1G02870//AT3G27740//AT1G17960	0.999999698309282	1
PURINE_RIBONUCLEOTIDE_BINDING	GO:0032555   purine ribonucleotide binding,    GOslim:molecular_function	97	736	MF	2430	AT5G60990//AT1G51380//AT3G62120//AT1G07920//AT1G64550//AT5G54910//AT1G71280//AT4G15850//AT5G25230//AT1G63660//AT4G10620//AT3G18600//AT5G11410//AT4G36580//AT3G45430//AT3G51270//AT1G29720//AT5G39840//AT1G17470//AT2G33840//AT2G28600//AT5G14610//AT2G35500//AT1G30580//AT2G18720//AT2G03670//AT1G25350//AT3G04600//AT4G02930//AT3G01610//AT4G16630//AT1G79950//AT5G53540//AT2G37690//AT4G24480//AT1G09620//AT2G06990//AT5G08620//AT1G52980//AT5G18570//AT1G77030//AT4G24280//AT1G08410//AT1G50920//AT4G31180//AT5G05450//AT5G20890//AT3G23990//AT4G37910//AT4G24830//AT4G05380//AT2G23070//AT2G21450//AT5G41360//AT2G40700//AT3G49240//AT2G28000//AT2G18190//AT2G18193//AT1G06670//AT3G11710//AT4G13750//AT1G36180//AT3G47450//AT2G45280//AT3G09720//AT1G29900//AT3G22310//AT3G20050//AT5G52520//AT1G57870//AT3G55010//AT3G03060//AT1G04170//AT3G16840//AT1G67120//AT3G42723//AT1G06720//AT1G07940//AT3G19210//AT5G27470//AT1G30960//AT3G02760//AT1G15500//AT1G14610//AT2G04030//AT5G16930//AT3G30770//AT1G07930//AT3G62310//AT3G12080//AT4G19210//AT5G56680//AT3G13470//AT5G58370//AT3G47580//AT1G17960	1.36391763374363e-05	0.00148897230551774
ENZYME_BINDING	GO:0019899   enzyme binding,    GOslim:molecular_function	3	736	MF	154	AT4G15850//AT3G56490//AT5G27620	0.753725095436587	1
HSF3_COLAMP_A	HSF3_colamp_a(AT5G16820) Target genes predicted by DAP-seq	251	736	TFT	10204	AT1G72440//AT1G49760//AT5G60990//AT2G40030//AT5G40670//AT2G05440//AT1G65150//AT1G48570//AT3G14390//AT3G27180//AT5G54910//AT2G34260//AT5G40490//AT5G45570//AT4G15850//AT1G50920//AT1G32550//AT3G11400//AT3G02200//AT5G67220//AT5G20600//AT3G18600//AT5G65850//AT2G19385//AT5G22650//AT1G67680//AT4G16720//AT5G30490//AT4G36580//AT4G27390//AT1G36180//AT1G13160//AT5G16930//AT4G09800//AT5G64420//AT1G22960//AT4G37380//AT1G17470//AT3G61620//AT3G23940//AT1G28530//AT5G19820//AT5G25754//AT3G17970//AT1G79190//AT5G58420//AT5G06550//AT3G03341//AT5G02870//AT5G60960//AT4G39300//AT2G18720//AT5G39850//AT2G03670//AT1G20220//AT3G62870//AT3G49140//AT4G27010//AT2G34357//AT5G63890//AT4G24280//AT4G31180//AT5G40770//AT4G02930//AT5G17710//AT1G06560//AT3G10610//AT5G27230//AT2G18180//AT5G06110//AT5G27330//AT1G79950//AT3G01345//AT5G61880//AT2G20800//AT1G65230//AT3G57000//AT3G55010//AT5G03740//AT2G37690//AT5G14580//AT1G77550//AT1G48920//AT2G03550//AT4G24480//AT1G43170//AT2G47610//AT4G19210//AT3G16810//AT4G10480//AT5G23900//AT4G07410//AT5G46160//AT5G14050//AT4G29510//AT3G52140//AT4G25730//AT1G73680//AT5G57030//AT2G18220//AT3G13580//AT1G78750//AT1G30240//AT5G01445//AT4G32400//AT1G17690//AT5G40200//AT4G11211//AT2G16570//AT1G08410//AT1G60770//AT5G08540//AT3G13882//AT3G60360//AT4G34265//AT5G51330//AT4G31160//AT1G77030//AT5G11310//AT1G21400//AT3G48500//AT4G27640//AT5G20890//AT5G60260//AT4G36130//AT2G27840//AT2G03130//AT2G44510//AT5G24280//AT5G22440//AT5G19300//AT2G23070//AT1G15930//AT2G20585//AT1G47820//AT4G28450//AT2G40700//AT4G15640//AT3G23480//AT3G23990//AT1G09640//AT2G38310//AT3G61100//AT2G16650//AT3G63130//AT2G28000//AT1G29900//AT3G06530//AT3G20300//AT3G49500//AT5G23710//AT1G70160//AT2G47990//AT1G11070//AT2G40360//AT1G63660//AT3G47450//AT3G60500//AT3G09630//AT3G20000//AT5G34869//AT3G02080//AT1G27470//AT5G57490//AT5G35760//AT1G71770//AT4G30990//AT3G56490//AT1G24148//AT3G58470//AT1G19150//AT5G46790//AT5G14490//AT1G03110//AT3G03060//AT1G80410//AT5G55920//AT3G16840//AT5G62370//AT1G67120//AT5G17270//AT2G18190//AT5G13940//AT3G42723//AT4G26600//AT1G62540//AT1G15440//AT3G05130//AT3G57350//AT3G54090//AT1G02750//AT3G56150//AT5G58610//AT5G09510//AT5G23250//AT3G19210//AT3G20330//AT3G09680//AT2G34750//AT2G24255//AT1G20400//AT3G24780//AT4G04030//AT1G49920//AT1G52315//AT5G15550//AT5G52820//AT1G10490//AT1G52160//AT1G30960//AT4G37980//AT2G19640//AT1G74560//AT3G45430//AT1G03860//AT1G14610//AT1G08610//AT2G04030//AT2G37990//AT3G05030//AT4G34740//AT1G64050//AT3G03150//AT5G45095//AT3G25940//AT4G25340//AT3G15460//AT2G41190//AT5G57050//AT5G02050//AT1G08910//AT4G01860//AT4G23540//AT1G30680//AT5G59240//AT1G62390//AT1G14060//AT5G48120//AT2G45280//AT5G56680//AT3G58660//AT5G20160//AT5G37490//AT5G06360//AT1G64600//AT5G35910//AT3G13470//AT1G07430//AT5G10240//AT3G11250//AT1G17960	0.787665495117268	1
OXIDOREDUCTASE_ACTIVITY,_ACTING_ON_PAIRED_DONORS,_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN,_NADH_OR_NADPH_AS_ONE_DONOR,_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	GO:0016709   oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen,    GOslim:molecular_function	1	736	MF	55	AT1G62540	0.757239325212806	1
PROTEIN-ARGININE_OMEGA-N_MONOMETHYLTRANSFERASE_ACTIVITY	GO:0035241   protein-arginine omega-N monomethyltransferase activity,    GOslim:molecular_function	1	736	MF	3	AT3G06930	0.0960937982473294	1
STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GO:0003735   structural constituent of ribosome,    GOslim:molecular_function	102	736	MF	407	AT3G09500//AT5G60670//AT1G17560//AT3G55750//AT1G58684//AT5G39850//AT2G31610//AT1G43170//AT5G07090//AT2G36170//AT2G04390//AT4G29410//AT3G04770//AT1G59359//AT4G09800//AT1G15250//AT2G19730//AT5G47930//AT1G64880//AT5G16130//AT5G02870//AT1G74270//AT3G62870//AT3G24830//AT1G77940//AT2G44120//AT3G10610//AT2G18020//AT5G35530//AT2G34520//AT2G45710//AT1G80620//AT1G15930//AT4G35490//AT4G25740//AT3G55280//AT3G28500//AT2G47610//AT5G23900//AT5G58420//AT5G46160//AT1G08360//AT3G13580//AT1G58983//AT1G23410//AT3G13882//AT3G14600//AT2G40010//AT4G36130//AT5G18790//AT2G03130//AT1G74060//AT4G10450//AT5G22440//AT3G16780//AT2G20060//AT1G06380//AT1G18540//AT1G72370//AT5G59240//AT2G39390//AT4G15000//AT1G58380//AT3G09630//AT3G02080//AT3G56340//AT2G05220//AT2G41840//AT3G58660//AT3G11940//AT4G31700//AT5G10360//AT4G16720//AT5G09510//AT3G09680//AT2G40590//AT5G46430//AT3G02560//AT3G04920//AT3G06680//AT2G44860//AT1G57660//AT2G17360//AT2G40510//AT5G52650//AT1G29965//AT1G26880//AT1G74050//AT3G49010//AT4G13170//AT5G20290//AT3G58700//AT1G27400//AT1G34030//AT1G80750//AT2G36160//AT2G37270//AT1G22780//AT5G04800//AT5G39740//AT5G06360//AT3G11250	8.16782715833723e-62	1.50212397298448e-58
CELLULAR_BIOGENIC_AMINE_CATABOLIC_PROCESS	GO:0042402   cellular biogenic amine catabolic process,    GOslim:biological_process	2	736	BP	117	AT4G28030//AT5G46790	0.800374517586471	1
WRKY33_COL_A	WRKY33_col_a(AT2G38470) Target genes predicted by DAP-seq	78	736	TFT	4471	AT5G25800//AT3G51800//AT1G63660//AT1G01350//AT4G32400//AT4G16630//AT1G79950//AT3G01345//AT1G68990//AT5G61880//AT5G39850//AT5G58610//AT5G19300//AT3G19210//AT3G21540//AT3G55160//AT3G20440//AT2G21450//AT1G47490//AT3G24780//AT2G16570//AT4G21900//AT5G57890//AT1G10490//AT1G77550//AT3G55280//AT5G41660//AT1G71730//AT1G51310//AT5G25754//AT1G70160//AT3G12390//AT5G60250//AT4G35490//AT1G09620//AT1G29900//AT5G08180//AT1G74870//AT3G04770//AT2G40955//AT5G14520//AT3G01600//AT5G57030//AT3G60500//AT4G01860//AT1G24148//AT3G57350//AT4G04670//AT2G19730//AT5G52520//AT5G35760//AT4G28030//AT1G56110//AT3G17970//AT5G48120//AT4G00930//AT2G22490//AT2G24120//AT5G03390//AT1G26470//AT5G08540//AT3G13882//AT5G49560//AT5G55510//AT1G47500//AT5G05060//AT1G10840//AT4G31210//AT5G37490//AT5G37130//AT5G60360//AT3G56490//AT1G52930//AT5G63890//AT3G26230//AT4G27640//AT3G27740//AT5G25780	0.999949482070819	1
